ScheduleCD|TipoSchd|NombreLayout|ejecutable|ScheduleCDPred|FecIni|HorIni|HorMaxDura|UnidadFrecCD|Estado|ValorFrecuencia|ValorFrecuenciaAdic|Predecesores|FecCreaTS|LayoutCD|TipSchdCD
8260|FTP|CDR_DNIS|Frame_FtpGet.py|0|01/04/2025|07:30:00|1|101|1|1|1||10/04/2025|2591|1
3037|ExTdt|RESMAGRELSTRT|Frame_Extractor.py|3036|12/05/2021|09:00:00|1|101|1|1|1||13/12/2021|591|7
3175|SPTdt|RESSMRTNOST|Frame_EjecutaSP.py|3043|12/05/2021|09:00:00|1|101|1|1|1||13/12/2021|280|5
3038|SPTdt|RESMAGNOSTRT|Frame_EjecutaSP.py|3037|12/05/2021|09:00:00|1|101|1|1|1||13/12/2021|277|5
6908|SPTdt|MPLAY_VIDEO_USERS|Frame_EjecutaSP.py|6767|12/03/2024|07:00:00|1|101|1|1|1||15/05/2024|621|5
4201|SPTdt|SP_REINTAPROB|Frame_EjecutaSP.py|4200|17/02/2022|09:00:00|1|101|1|1|1||11/03/2022|352|5
2378|FLoad|GST_GT01_TIPO_MOV|Frame_FLoad_TDT.py|2377|01/07/2020|02:00:00|1|101|0|1|1||15/10/2020|1735|2
1905|SPTdt|TRAFDEPA|Frame_EjecutaSP.py|1904|18/06/2020|06:00:00|1|102|1|5|5||27/06/2020|108|5
7357|RNTdt|GENESYS_CATALOGO_LISTA_BLANCA|Frame_TransformaRN.py|7356|12/03/2024|05:00:00|1|101|1|1|1||13/09/2024|2429|3
8587|RNTdt|DANAEMPRESASERRORLOG|Frame_TransformaRN.py|8586|17/07/2025|19:00:00|1|101|1|1|1||22/07/2025|2669|3
2212|ExTdt|EXTRESUMCONVE|Frame_Extractor.py|2211|07/09/2020|09:05:00|1|102|1|10|10,28||23/09/2020|435|7
6276|FLoad|RULETA_PREPAGO_CANJES|Frame_FLoad_TDT.py|6275|07/11/2023|08:00:00|1|101|1|1|1||07/11/2023|2192|2
6443|FTP|SAPT_ClasMovi|Frame_FtpGet.py|0|14/12/2023|04:00:00|1|101|1|1|1|SAPT_Catalogo_DAT,SPTdt|21/12/2023|2219|1
8601|FLoad|DANAMASIVEMAILHST|Frame_FLoad_TDT.py|8600|17/07/2025|19:00:00|1|101|1|1|1||22/07/2025|2626|2
7501|FLoad|VEL_UMTS_HXH|Frame_FLoad_TDT.py|7500|07/08/2024|06:50:00|1|101|1|1|1||23/09/2024|2460|2
3386|SPTdt|PREFCAPL|Frame_EjecutaSP.py|0|11/08/2021|06:30:00|1|101|1|1|1|"D_DPREF_D_JV,SPTdt|D_DPREF_D_P,SPTdt|D_DPREF_D_CU,SPTdt|D_DPREF_D_OA,SPTdt|SUBSCRIBER,RNTdt|BILLING_ARRANGEMENT,RNTdt|SALES_SERVICE_CHANNEL,RNTdt|USERS,RNTdt|AGENT,RNTdt|EMPLOYEE,RNTdt|DPREF_D_CI,SPTdt|ASSIGNED_BILLING_OFFER,RNTdt"|23/08/2021|323|5
6283|FLoad|CaplProgram|Frame_FLoad_TDT.py|0|09/11/2023|01:00:00|1|101|1|1|1||14/11/2023|2197|2
8162|FLoad|WEBFACO_CABLE|Frame_FLoad_TDT.py|8282|05/03/2025|07:22:00|3|101|1|30|30||14/04/2025|2578|2
2062|SPTdt|MT_1003|Frame_EjecutaSP.py|2018|16/02/2021|09:20:00|1|103|0|1|1||04/07/2021|134|5
7236|FLoad|FB_CAPTAFIJA_TELEAVANCE|Frame_FLoad_TDT.py|7235|27/06/2024|06:00:00|5|101|1|1|1||05/12/2024|2403|2
3325|ExIfx|MOV_BLQCLI|Frame_Extract_Informix_Nativo.py|0|12/05/2021|02:00:00|1|101|1|1|1||30/06/2021|22462|8
6888|FLoad|MPLAY_VIDEO_DEVICESHASH|Frame_FLoad_TDT.py|6887|14/05/2024|07:00:00|1|101|1|1|1||15/05/2024|2312|2
2771|FLoad|CATALOGOMA|Frame_FLoad_TDT.py|0|10/03/2021|05:30:00|1|101|1|1|1||22/04/2021|1838|2
804|ExTdt|RFACO006|Frame_Extractor.py|803|17/12/2019|16:00:00|2|102|0|2|02,06,16,19,24||16/01/2020|67|7
5841|FLoad|TRAMO_0_SVA|Frame_FLoad_TDT.py|0|29/03/2023|04:00:00|1|101|1|1|1||16/01/2024|2083|2
882|FLoad|ASSIGNED_BILLING_OFFER|Frame_FLoad_TDT.py|0|19/02/2020|02:00:00|1|101|1|1|1||19/02/2020|1604|2
2381|FLoad|GST_GT48_PLAZOS|Frame_FLoad_TDT.py|2380|01/07/2020|02:00:00|1|101|0|1|1||15/10/2020|1746|2
6510|FLoad|SAPT_FuIntCli|Frame_FLoad_TDT.py|6509|14/12/2023|07:45:00|1|101|1|1|1||21/12/2023|2226|2
2266|FLoad|GST_GT900_MOTMAS|Frame_FLoad_TDT.py|2265|13/10/2020|01:30:00|1|101|0|1|1||13/10/2020|1729|2
2426|FLoad|TRAFTASM0|Frame_FLoad_TDT.py|2425|16/09/2020|06:00:00|3|101|0|1|1||10/02/2022|1752|2
2598|FLoad|MOV_PRESFACTESP|Frame_FLoad_TDT.py|2597|01/03/2021|03:00:00|1|101|1|1|1||03/03/2021|1809|2
34|ExIfx|MAE_CABEC|Frame_Extract_Informix_Nativo.py|0|30/10/2019|00:15:00|1|101|1|1|||12/11/2019|22280|8
6159|FLoad|CARGA_SOM005|Frame_FLoad_TDT.py|0|01/01/2022|05:30:00|1|101|0|1|1||22/08/2023|2152|2
7465|FLoad|MAESTRAPRODUCTO|Frame_FLoad_TDT.py|7464|10/09/2024|08:00:00|2|102|1|8|08||12/09/2024|2443|2
1755|ExIfx|MOV_BITREQATN|Frame_Extract_Informix_Nativo.py|0|15/04/2020|00:15:00|2|101|1|1|1||16/04/2020|22328|8
8348|JnFlFL|CONSOLIDADOR_SAP_T|Frame_JoinFiles.py|8347|13/05/2025|11:00:00|1|101|1|1|1||28/05/2025|52|15
3428|ExTdt|CHRGEDEV|Frame_Extractor.py|3427|11/11/2021|06:00:00|1|104|1|2|2||11/11/2021|657|7
738|FLoad|PSPSTDMT|Frame_FLoad_TDT.py|737|13/03/2020|00:45:00|1|101|0|1|1||07/04/2022|1541|2
2360|FLoad|GST_GT04S_CAT_SPE|Frame_FLoad_TDT.py|2359|01/07/2020|02:00:00|1|101|0|1|1||15/10/2020|1741|2
4685|SPTdt|BMCOMPNT|Frame_EjecutaSP.py|4684|01/05/2022|04:00:00|1|101|1|1|1||15/08/2023|363|5
2682|FLoad|TOA_ACTIVITIE_DIA|Frame_FLoad_TDT.py|2681|06/01/2021|08:00:00|1|103|1|6|6||08/04/2021|1815|2
8681|FTP|DANAMASIVOSMSH|Frame_FtpGet.py|0|17/07/2025|19:00:00|1|101|1|1|1||22/07/2025|2674|1
8745|FLoad|DANAOTPSMSHISTORY|Frame_FLoad_TDT.py|8744|17/07/2025|19:00:00|1|101|1|1|1||22/07/2025|2666|2
3335|FLoad|NIL_MOV_FFTT|Frame_FLoad_TDT.py|3334|12/05/2021|02:00:00|1|101|1|1|1||30/06/2021|1918|2
8222|ExTdt|C_I_PER_CINCO_SC|Frame_Extractor.py|8217|28/03/2025|10:00:00|2|104|1|2|2,4,6||27/03/2025|1065|7
7880|ExTdt|DITO_PEDIDO_PILOTO|Frame_Extractor.py|7879|10/01/2025|00:30:00|1|101|1|1|1||10/01/2025|886|7
7745|SPTdt|DMCWFPREPOST|Frame_EjecutaSP.py|0|11/12/2024|02:00:00|1|101|1|1|1||11/12/2024|856|5
8216|RegCal|RC_INVENTARIO_FTTH|Frame_EjecutaCalidad.py|8191|25/03/2025|11:00:00|1|101|1|1|1||03/04/2025|49|23
2994|FLoad|CDFALTA|Frame_FLoad_TDT.py|2993|12/05/2021|09:00:00|1|101|1|1|1||13/12/2021|1871|2
6037|ExTdt|PORT_TELFN_ALDM|Frame_Extractor.py|6036|22/03/2023|03:00:00|1|101|1|1|1||19/06/2023|740|7
8166|FLoad|WEBFACO_FIJA|Frame_FLoad_TDT.py|8288|05/03/2025|07:22:00|3|101|1|30|30||14/04/2025|2580|2
2572|FTP|BMCARTERAB2B|Frame_FtpGet.py|0|20/10/2020|08:00:00|1|102|1|1|1||26/05/2021|1805|1
7652|FTP|FEEDBACK_TELEAVANCE_CAPL|Frame_FtpGet.py|0|14/11/2024|06:30:00|1|101|1|1|1||14/11/2024|2485|1
5565|FLoad|REPORCU|Frame_FLoad_TDT.py|0|11/01/2023|07:00:00|1|101|1|1|1||23/03/2023|2049|2
8720|FTP|DANAOTPCONV|Frame_FtpGet.py|0|17/07/2025|19:00:00|1|101|1|1|1||22/07/2025|2631|1
8313|RegCal|RC_SP_RECUPERO_EQ_61D|Frame_EjecutaCalidad.py|7601|28/04/2025|00:30:00|1|101|1|1|1||30/04/2025|57|23
2091|FTP|PESUPETT|Frame_FtpGet.py|0|18/08/2020|17:00:00|1|101|0|1|1||18/08/2020|1702|1
348|ExTdt|REPRCABP_251|Frame_Extractor.py|245|30/10/2019|00:15:00|1|101|1|1||"MOVPRXSR,RNTdt|MAESRVDT,RNTdt|MAECLIDT,RNTdt"|12/11/2019|233|7
71|FLoad|MAEMATDT|Frame_FLoad_TDT.py|70|30/10/2019|00:15:00|1|101|1|1|||12/11/2019|1347|2
4187|FTP|AVERIAS_MASIVAS_FJ|Frame_FtpGet.py|0|17/02/2022|06:00:00|1|104|1|2|2||11/03/2022|1956|1
797|FLoad|RFACO004|Frame_FLoad_TDT.py|796|17/12/2019|16:00:00|2|102|0|2|02,06,16,19,24||16/01/2020|1444|2
7202|FTP|FB_GSS_RETENCIONES_FIJA_2|Frame_FtpGet.py|0|08/05/2024|08:00:00|1|101|1|1|1||20/01/2025|2391|1
8198|FLoad|VLCD_GPON|Frame_FLoad_TDT.py|0|24/06/2025|05:00:00|1|101|1|1|1||23/06/2025|2586|2
213|ExIfx|MOV_EXTREQSRV|Frame_Extract_Informix_Nativo.py|0|30/10/2019|00:15:00|15|101|1|1|||12/11/2019|22344|8
3017|ExTdt|CDEQAGNOSTRT|Frame_Extractor.py|3016|12/05/2021|09:00:00|1|101|1|1|1||13/12/2021|581|7
7538|FTP|FB_RETENCIONES_MOVIL|Frame_FtpGet.py|0|16/09/2024|08:00:00|1|101|1|1|1||04/10/2024|2468|1
6808|ExTdt|DTCANGRP13|Frame_Extractor.py|0|22/04/2024|08:30:00|1|101|1|1|1|DTCANSP,SPTdt|23/04/2024|796|7
2351|FLoad|GST_GT900_DSLAM_SUB|Frame_FLoad_TDT.py|2283|13/10/2020|01:30:00|1|101|1|1|1||13/10/2020|1723|2
6245|FTP|RU_PROVISION|Frame_FtpGet.py|0|09/09/2023|04:00:00|1|101|1|1|1||16/01/2024|2185|1
6752|SPTdt|BASECL|Frame_EjecutaSP.py|0|01/04/2023|02:00:00|2|101|1|1|1|"CUSTOMER,RNTdt|CONTACT,RNTdt|CUSTOMER_CONTACT_REL,RNTdt|CRM_ACCOUNT,RNTdt"|01/07/2025|598|5
7965|SPTdt|LIMPIEZAS_WSP_CARIBU|Frame_EjecutaSP.py|0|04/02/2025|08:00:00|2|104|1|2|2,3,4,5,6|BASES_LIMPIEZAS,SPTdt|02/08/2025|908|5
2536|ExTdt|AGPICUSTOM|Frame_Extractor.py|2535|21/12/2020|01:00:00|1|104|1|1|1||29/01/2021|488|7
256|ExTdt|CICLOFAC_251|Frame_Extractor.py|123|30/10/2019|00:15:00|1|101|1|1||"MAECIFAC,RNTdt|MOVCALFC,RNTdt"|12/11/2019|140|7
5600|FLoad|APPBASBO|Frame_FLoad_TDT.py|0|22/03/2023|07:00:00|1|101|0|1|1||05/04/2023|2055|2
