SchdMatrixCD|ScheduleCD|TipoSchd|NombreLayout|ejecutable|SchdMatrixCDPred|FecIniEjec_TS|FecFinEjec_TS|FecIni|HorIni|HorMaxEjec|FecCreaTS|EstadoCD|DesEstado|numEjec|numProcesos
2502871129|8260|FTP|CDR_DNIS|Frame_FtpGet.py|0|05/08/2025 07:31:17|05/08/2025 07:32:00|2025-08-05|07:30:00|08:30:00|2025-08-05 00:01:51.350000|53|Schedule Finalizado|1|10
2502873489|3037|ExTdt|RESMAGRELSTRT|Frame_Extractor.py|2502873487|||2025-08-05|09:00:00|18:00:00|2025-08-05 00:03:21.390000|51|Schedule Pendiente|0|10
2502873496|3175|SPTdt|RESSMRTNOST|Frame_EjecutaSP.py|2502873495|||2025-08-05|09:00:00|18:00:00|2025-08-05 00:03:22.430000|51|Schedule Pendiente|0|15
2502873490|3038|SPTdt|RESMAGNOSTRT|Frame_EjecutaSP.py|2502873489|||2025-08-05|09:00:00|18:00:00|2025-08-05 00:03:21.510000|51|Schedule Pendiente|0|15
2502873216|6908|SPTdt|MPLAY_VIDEO_USERS|Frame_EjecutaSP.py|2502872805|05/08/2025 07:27:47|05/08/2025 07:30:05|2025-08-05|07:00:00|20:00:00|2025-08-05 00:03:08.610000|53|Schedule Finalizado|1|15
2502871557|3332|FLoad|NIL_MOV_ASIGNACION|Frame_FLoad_TDT.py|2502870173|05/08/2025 02:27:21|05/08/2025 02:28:55|2025-08-05|02:00:00|20:30:00|2025-08-05 00:02:06.580000|53|Schedule Finalizado|2|15
2502872676|5567|SPTdt|REPORCU|Frame_EjecutaSP.py|2502871717|05/08/2025 07:18:25|05/08/2025 07:24:25|2025-08-05|07:00:00|20:30:00|2025-08-05 00:02:49.210000|53|Schedule Finalizado|1|15
2502873288|4976|SPTdt|BM_MIGRA_CRUCE|Frame_EjecutaSP.py|2502873177|05/08/2025 07:29:43|05/08/2025 07:39:38|2025-08-05|07:00:00|22:20:00|2025-08-05 00:03:11.540000|53|Schedule Finalizado|1|15
2502872861|7357|RNTdt|GENESYS_CATALOGO_LISTA_BLANCA|Frame_TransformaRN.py|2502872027|05/08/2025 05:08:03|05/08/2025 05:08:30|2025-08-05|05:00:00|20:00:00|2025-08-05 00:02:56.100000|53|Schedule Finalizado|1|10
2502872994|8587|RNTdt|DANAEMPRESASERRORLOG|Frame_TransformaRN.py|2502872313|||2025-08-05|19:00:00|23:00:00|2025-08-05 00:03:00.640000|51|Schedule Pendiente|0|10
2502871342|459|ExNz|GASSET01|Frame_Extractor_NZ.py|2502869758|||2025-08-05|01:00:00|02:10:00|2025-08-05 00:01:58.890000|51|Schedule Pendiente|0|10
2502871840|6276|FLoad|RULETA_PREPAGO_CANJES|Frame_FLoad_TDT.py|2502870571|||2025-08-05|08:00:00|09:00:00|2025-08-05 00:02:17.400000|51|Schedule Pendiente|0|15
2502870587|6443|FTP|SAPT_ClasMovi|Frame_FtpGet.py|0|05/08/2025 04:03:10|05/08/2025 04:04:43|2025-08-05|04:00:00|06:00:00|2025-08-05 00:01:35.320000|53|Schedule Finalizado|1|10
2502872318|8601|FLoad|DANAMASIVEMAILHST|Frame_FLoad_TDT.py|2502871212|||2025-08-05|19:00:00|23:00:00|2025-08-05 00:02:34.960000|51|Schedule Pendiente|0|15
